content,labels,0,1
moore like progressive bull china shop provocateur crashing ideas special interest groups slaps together brand liberalism,1.0,0.45903784,0.5409621
idiotic ugly,1.0,0.45483348,0.54516655
even naipaul original remains real masterpiece movie possesses languorous charm,1.0,0.45515448,0.54484546
movie amateurish minor treat,1.0,0.45374447,0.5462555
people march beat different drum ever wondered kind houses people live documentary takes look alternative housing options,1.0,0.44832078,0.5516792
movie plays cartoon obvious strength snazziness neglecting less conspicuous writing strength,1.0,0.45409933,0.54590064
apesar de seus graves problemas filme consegue entreter,1.0,0.4552653,0.5447346
superb production values christian bale charisma make derivative plot,1.0,0.45499974,0.5450003
kiarostami crafted deceptively casual ode children managed convey tiny sense hope,1.0,0.45136365,0.5486364
engrossing story combines psychological drama sociological reflection high octane thriller,1.0,0.45253167,0.5474683
like predecessor classic provides reasonably attractive holiday contraption one families looking clean kid friendly outing investigate,1.0,0.4579209,0.54207915
ranks among willams best screen work,1.0,0.45338926,0.5466108
drawling slobbering lovable run sentence film southern gothic emotional arc raw blues soundtrack,1.0,0.4550885,0.54491144
even understand earth going movie stimulate hours post viewing discussion reminded,1.0,0.45289674,0.5471033
sight spaceship launching pad duly impressive imax dimensions shots astronauts floating cabins,1.0,0.45559332,0.5444067
new zealand coming age movie really anything rich luscious cares,1.0,0.455198,0.54480195
french cast marveilleux,1.0,0.45352966,0.54647034
ricci best work yet girl woman sincerely believes thwart world misery blind good,1.0,0.4555656,0.5444344
harmless fun,1.0,0.45389795,0.54610205
fast runner transports viewer unusual space,1.0,0.4563226,0.5436774
may somewhat backhanded compliment say film makes viewer feel like movie various victimized audience members also happens movie admirable quality,1.0,0.46063882,0.5393611
funny movie,1.0,0.45517635,0.5448236
imagine scenario bergman approaches swedish fatalism using gary larson far side humor,1.0,0.45235932,0.54764074
minutes treasure planet maintains brisk pace races familiar story however lacks grandeur epic quality often associated stevenson tale well earlier disney efforts,1.0,0.4550063,0.5449937
lot fun undeniable energy sparked two actresses working peak powers,1.0,0.45148984,0.5485101
vivid sometimes surreal glimpse mysteries human behavior,1.0,0.45204857,0.54795146
film verbal duel two gifted performers,1.0,0.4539798,0.5460202
valuable film,1.0,0.45424187,0.5457581
director kapur filmmaker real flair epic landscapes adventure better film earlier english language movie overpraised elizabeth,1.0,0.45835105,0.54164886
love way took chances really asks take great leaps faith pays,1.0,0.4495294,0.55047065
take care nicely performed quintet actresses nonetheless drags minute length,1.0,0.45211273,0.54788727
expect major discoveries stylish sizzle film sits square conviction touching good sense experience women,1.0,0.4496001,0.5503999
transitions adulthood fraught much truth small amount poetry girls swim,1.0,0.45462504,0.54537493
funny sexy devastating incurably romantic,1.0,0.45636702,0.5436329
death merely transition common tenet world religions deeply spiritual film taps meaning consolation afterlife communications,1.0,0.45036566,0.54963434
highly personal look effects living dysfunctionally privileged lifestyle end wish could spent time world,1.0,0.44945875,0.5505412
absorbing character study andr turpin,1.0,0.45390242,0.5460976
skins desolate air eyre native american raised white parents manages infuse rocky path sibling reconciliation flashes warmth gentle humor,1.0,0.456306,0.543694
world traveler might go anywhere new arrive anyplace special certainly honest attempt get something,1.0,0.46100077,0.53899926
pleasing often funny comedy,1.0,0.45700786,0.5429921
enlivens film beyond astute direction cardoso beautifully detailed performances actors note defiance social dictates,1.0,0.45177183,0.54822814
fascinating bombshell documentary shame americans regardless whether ultimate blame finally lies kissinger required viewing civics classes would public servants alike,1.0,0.45873854,0.5412615
like going house party watching host defend frothing ex girlfriend want call cops want call domino,1.0,0.45876414,0.54123586
contrasting original ringu current americanized adaptation akin comparing evil dead evil dead ii,1.0,0.45182478,0.5481753
fans critics darling band wilco marvel sometimes murky always brooding look trying break heart,1.0,0.4501054,0.54989463
film precious increments artfully camouflaged everyday activities,1.0,0.45444882,0.5455511
greene delivers typically solid performance role bit departure noble characters played past matched schweig carries film broad handsome shoulders,1.0,0.4528842,0.5471158
film fierce dance destruction flame like roiling black white inspires trembling gratitude,1.0,0.45318535,0.5468147
wonderful ghastly film,1.0,0.4548334,0.54516655
stanley kwan directed one best gay love stories ever made one best love stories stripe,1.0,0.45525384,0.5447462
people cinema finest,1.0,0.45437175,0.54562825
one funniest motion pictures year also one curiously depressing,1.0,0.45359504,0.54640496
steven soderbergh digital video experiment clever cutting quick dirty look modern living movie life,1.0,0.4539764,0.5460236
suffers timid parsing barn side target sons trying breach gaps relationships fathers,1.0,0.4532106,0.54678935
moving important film,1.0,0.45295873,0.5470413
friends couples miles pabst blue ribbon beer drink ultimate redneck road trip,1.0,0.45654827,0.54345167
comedy subversive unrelenting bleak insistence opting opportunity finding meaning relationships work becomes sad,1.0,0.45765468,0.5423453
two words tell know deciding see anthony hopkins,1.0,0.452835,0.54716504
coming age story seen bits films rarely told affecting grace cultural specificity,1.0,0.4588146,0.54118544
claire terrific role someone like judd really ought playing villains,1.0,0.45267215,0.5473279
intrigued politics film every bit fascinating flawed,1.0,0.45714715,0.5428529
taking entertainment tonight subject matter giving humor poignancy auto focus becomes gut bustingly funny crushingly depressing,1.0,0.45201054,0.5479895
clever script skilled actors bring new energy familiar topic office politics,1.0,0.45170584,0.5482941
cast phenomenal especially women,1.0,0.4534836,0.54651636
nettelbeck crafted engaging fantasy flavours emotions one part romance novel one part recipe book,1.0,0.4574607,0.5425393
admired particularly unexpected downer ending,1.0,0.45382333,0.54617673
film almost unbearable portrait sadness grief transcends specific story speak ways need history presumption tangle sometimes destroy blood ties,1.0,0.4507043,0.54929566
payne constructs hilarious ode middle america middle age unlikely odyssey featuring pathetic endearing hero human,1.0,0.46068192,0.5393181
first half bursts goofy energy previous disney films used minutes,1.0,0.44956562,0.5504344
schmidt nicholson goofy heartfelt mesmerizing king lear,1.0,0.4553866,0.54461336
smart provocative drama nearly impossible gets skin man know evil monstrous lunatic,1.0,0.45296896,0.54703104
see debate remember,1.0,0.45349178,0.5465082
tough watch fantastic movie,1.0,0.45353195,0.5464681
exciting documentary,1.0,0.45382294,0.54617697
cut layers soap opera emotion find scathing portrayal powerful entity strangling life people want believe,1.0,0.4548151,0.54518497
highly engaging,1.0,0.454709,0.54529107
succeeds bullock grant made share silver screen,1.0,0.45209506,0.5479049
mazel tov film family joyous life acting yiddish stage,1.0,0.4527808,0.54721916
characters well established gang feels comfortable taking insane liberties goofiest stuff left field,1.0,0.45283437,0.5471657
celebrates group playful spark nonconformity glancing vividly back hibiscus grandly called angels light,1.0,0.45834386,0.5416562
